state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
49,Utah,1,Beaver County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.03,0.00,0.03,0.00,-
49,Utah,1,Beaver County,1990,0.69,0.0,0.69,0.0,0.0,0.0,0.69,0.0,0.69,0.09,0.78,0.34,0.00,0.34,0.00,2
49,Utah,1,Beaver County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.00,0.01,0.00,7
49,Utah,1,Beaver County,2000,1.82,0.0,1.82,0.0,0.0,0.0,1.82,0.0,1.82,-,-,-,-,-,-,-
49,Utah,1,Beaver County,2005,1.41,0.0,1.41,0.0,0.0,0.0,1.41,0.0,1.41,-,-,-,-,-,0.00,-
49,Utah,1,Beaver County,2010,0.81,0.0,0.81,0.0,0.0,0.0,0.81,0.0,0.81,-,-,-,-,-,0.00,-
49,Utah,1,Beaver County,2015,2.62,0.0,2.62,0.0,0.0,0.0,2.62,0.0,2.62,-,-,-,-,-,-,-
49,Utah,3,Box Elder County,1985,2.28,0.0,2.28,0.0,0.0,0.0,2.28,0.0,2.28,0.05,2.33,1.02,0.00,1.02,0.00,-
49,Utah,3,Box Elder County,1990,2.1,0.0,2.1,0.0,0.0,0.0,2.1,0.0,2.1,0.02,2.12,0.93,0.00,0.93,0.00,13
49,Utah,3,Box Elder County,1995,1.95,0.0,1.95,0.0,0.0,0.0,1.95,0.0,1.95,0.12,2.07,0.91,0.00,0.91,0.00,41
49,Utah,3,Box Elder County,2000,1.37,0.0,1.37,0.0,0.0,0.0,1.37,0.0,1.37,-,-,-,-,-,-,-
49,Utah,3,Box Elder County,2005,0.8,0.43,1.23,0.0,0.0,0.0,0.8,0.43,1.23,-,-,-,-,-,0.00,-
49,Utah,3,Box Elder County,2010,0.88,0.02,0.9,0.0,0.0,0.0,0.88,0.02,0.9,-,-,-,-,-,0.00,-
49,Utah,3,Box Elder County,2015,0.92,0.03,0.95,0.0,0.0,0.0,0.92,0.03,0.95,-,-,-,-,-,-,-
49,Utah,5,Cache County,1985,2.17,0.0,2.17,0.0,0.0,0.0,2.17,0.0,2.17,0.06,2.23,0.98,0.00,0.98,0.00,-
49,Utah,5,Cache County,1990,1.34,0.0,1.34,0.0,0.0,0.0,1.34,0.0,1.34,3.16,4.50,1.98,0.00,1.98,0.00,9
49,Utah,5,Cache County,1995,0.72,0.0,0.72,1.14,0.0,1.14,1.86,0.0,1.86,1.86,3.72,1.64,0.00,1.64,0.00,122
49,Utah,5,Cache County,2000,1.21,0.0,1.21,0.0,0.0,0.0,1.21,0.0,1.21,-,-,-,-,-,-,-
49,Utah,5,Cache County,2005,0.51,0.0,0.51,0.06,0.0,0.06,0.57,0.0,0.57,-,-,-,-,-,0.00,-
49,Utah,5,Cache County,2010,0.51,0.0,0.51,0.0,0.0,0.0,0.51,0.0,0.51,-,-,-,-,-,0.00,-
49,Utah,5,Cache County,2015,0.46,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,-,-,-,-,-,-,-
49,Utah,7,Carbon County,1985,0.54,0.0,0.54,4.49,0.0,4.49,5.03,0.0,5.03,0.08,5.11,2.25,0.00,2.25,0.00,-
49,Utah,7,Carbon County,1990,0.76,0.0,0.76,0.08,0.0,0.08,0.84,0.0,0.84,0.30,1.14,0.50,0.00,0.50,0.00,8
49,Utah,7,Carbon County,1995,0.33,0.0,0.33,0.14,0.0,0.14,0.47,0.0,0.47,0.11,0.58,0.26,0.00,0.26,0.00,13
49,Utah,7,Carbon County,2000,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
49,Utah,7,Carbon County,2005,0.55,0.0,0.55,0.02,0.0,0.02,0.57,0.0,0.57,-,-,-,-,-,0.00,-
49,Utah,7,Carbon County,2010,0.01,0.0,0.01,0.02,0.0,0.02,0.03,0.0,0.03,-,-,-,-,-,0.00,-
49,Utah,7,Carbon County,2015,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,-,-,-,-,-,-,-
49,Utah,9,Daggett County,1985,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.00,0.01,0.01,0.00,0.01,0.00,-
49,Utah,9,Daggett County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
49,Utah,9,Daggett County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,1
49,Utah,9,Daggett County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,9,Daggett County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
49,Utah,9,Daggett County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
49,Utah,9,Daggett County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,11,Davis County,1985,1.55,0.0,1.55,0.0,0.0,0.0,1.55,0.0,1.55,3.67,5.22,2.30,0.00,2.30,0.00,-
49,Utah,11,Davis County,1990,2.77,0.0,2.77,0.0,0.0,0.0,2.77,0.0,2.77,2.38,5.15,2.27,0.00,2.27,0.00,11
49,Utah,11,Davis County,1995,1.79,0.0,1.79,0.23,0.0,0.23,2.02,0.0,2.02,3.59,5.61,2.47,0.00,2.47,0.00,186
49,Utah,11,Davis County,2000,1.45,0.0,1.45,0.0,0.0,0.0,1.45,0.0,1.45,-,-,-,-,-,-,-
49,Utah,11,Davis County,2005,1.93,0.0,1.93,0.0,0.0,0.0,1.93,0.0,1.93,-,-,-,-,-,0.00,-
49,Utah,11,Davis County,2010,1.82,0.0,1.82,0.0,0.0,0.0,1.82,0.0,1.82,-,-,-,-,-,0.00,-
49,Utah,11,Davis County,2015,1.97,0.0,1.97,0.0,0.0,0.0,1.97,0.0,1.97,-,-,-,-,-,-,-
49,Utah,13,Duchesne County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.08,0.00,0.08,0.00,-
49,Utah,13,Duchesne County,1990,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.50,0.52,0.22,0.00,0.22,0.00,2
49,Utah,13,Duchesne County,1995,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.44,0.47,0.21,0.00,0.21,0.00,12
49,Utah,13,Duchesne County,2000,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
49,Utah,13,Duchesne County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
49,Utah,13,Duchesne County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
49,Utah,13,Duchesne County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,15,Emery County,1985,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.00,0.06,0.03,0.00,0.03,0.00,-
49,Utah,15,Emery County,1990,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.18,0.20,0.09,0.00,0.09,0.00,2
49,Utah,15,Emery County,1995,0.14,0.0,0.14,1.32,0.0,1.32,1.46,0.0,1.46,0.04,1.50,0.66,0.00,0.66,0.00,2
49,Utah,15,Emery County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,15,Emery County,2005,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,0.00,-
49,Utah,15,Emery County,2010,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,0.00,-
49,Utah,15,Emery County,2015,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
49,Utah,17,Garfield County,1985,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.00,0.08,0.03,0.00,0.03,0.00,-
49,Utah,17,Garfield County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
49,Utah,17,Garfield County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,10
49,Utah,17,Garfield County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,17,Garfield County,2005,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,0.00,-
49,Utah,17,Garfield County,2010,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,0.00,-
49,Utah,17,Garfield County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,19,Grand County,1985,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.00,0.03,0.01,0.00,0.01,0.00,-
49,Utah,19,Grand County,1990,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.00,0.08,0.03,0.00,0.03,0.00,1
49,Utah,19,Grand County,1995,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.00,0.01,0.00,8
49,Utah,19,Grand County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,19,Grand County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
49,Utah,19,Grand County,2010,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.0,0.45,-,-,-,-,-,0.00,-
49,Utah,19,Grand County,2015,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.14,-,-,-,-,-,-,-
49,Utah,21,Iron County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.11,0.00,0.11,0.00,-
49,Utah,21,Iron County,1990,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.04,0.18,0.08,0.00,0.08,0.00,6
49,Utah,21,Iron County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.00,0.01,0.00,34
49,Utah,21,Iron County,2000,1.56,0.0,1.56,0.0,0.0,0.0,1.56,0.0,1.56,-,-,-,-,-,-,-
49,Utah,21,Iron County,2005,0.19,1.29,1.48,0.0,0.0,0.0,0.19,1.29,1.48,-,-,-,-,-,0.00,-
49,Utah,21,Iron County,2010,0.41,3.24,3.65,0.0,0.0,0.0,0.41,3.24,3.65,-,-,-,-,-,0.00,-
49,Utah,21,Iron County,2015,0.37,2.14,2.51,0.0,0.0,0.0,0.37,2.14,2.51,-,-,-,-,-,-,-
49,Utah,23,Juab County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
49,Utah,23,Juab County,1990,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,0.57,0.76,0.33,0.00,0.33,0.00,6
49,Utah,23,Juab County,1995,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,1.30,1.39,0.61,0.00,0.61,0.00,3
49,Utah,23,Juab County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,23,Juab County,2005,0.37,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.37,-,-,-,-,-,0.00,-
49,Utah,23,Juab County,2010,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,-,-,-,-,-,0.00,-
49,Utah,23,Juab County,2015,0.21,0.0,0.21,0.33,0.0,0.33,0.54,0.0,0.54,-,-,-,-,-,-,-
49,Utah,25,Kane County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
49,Utah,25,Kane County,1990,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.03,0.02,0.00,0.02,0.00,2
49,Utah,25,Kane County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.02,0.00,0.02,0.00,5
49,Utah,25,Kane County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,25,Kane County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
49,Utah,25,Kane County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
49,Utah,25,Kane County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,27,Millard County,1985,0.63,0.0,0.63,0.0,0.0,0.0,0.63,0.0,0.63,0.18,0.81,0.36,0.00,0.36,0.00,-
49,Utah,27,Millard County,1990,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.06,0.19,0.08,0.00,0.08,0.00,2
49,Utah,27,Millard County,1995,1.86,0.0,1.86,15.19,0.0,15.19,17.05,0.0,17.05,0.03,17.08,7.51,0.00,7.51,0.00,11
49,Utah,27,Millard County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
49,Utah,27,Millard County,2005,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,0.00,-
49,Utah,27,Millard County,2010,0.92,0.0,0.92,0.0,0.0,0.0,0.92,0.0,0.92,-,-,-,-,-,0.00,-
